start model 0
C:\Users\dozen\AppData\Local\Programs\Python\Python38\lib\site-packages\torch\autograd\__init__.py:130: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  ..\c10\cuda\CUDAFunctions.cpp:100.)
  Variable._execution_engine.run_backward(
79 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
80 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
81 Average Val Loss: 0.0185, Val Accuracy: 4179/4200 (99.500%)
82 Average Val Loss: 0.0185, Val Accuracy: 4178/4200 (99.476%)
83 Average Val Loss: 0.0184, Val Accuracy: 4179/4200 (99.500%)
84 Average Val Loss: 0.0179, Val Accuracy: 4179/4200 (99.500%)
85 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
86 Average Val Loss: 0.0186, Val Accuracy: 4179/4200 (99.500%)
87 Average Val Loss: 0.0178, Val Accuracy: 4179/4200 (99.500%)
88 Average Val Loss: 0.0178, Val Accuracy: 4179/4200 (99.500%)
89 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
90 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
91 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
92 Average Val Loss: 0.0180, Val Accuracy: 4180/4200 (99.524%)
93 Average Val Loss: 0.0183, Val Accuracy: 4179/4200 (99.500%)
94 Average Val Loss: 0.0181, Val Accuracy: 4180/4200 (99.524%)
95 Average Val Loss: 0.0182, Val Accuracy: 4179/4200 (99.500%)
96 Average Val Loss: 0.0181, Val Accuracy: 4179/4200 (99.500%)
97 Average Val Loss: 0.0178, Val Accuracy: 4179/4200 (99.500%)
98 Average Val Loss: 0.0187, Val Accuracy: 4179/4200 (99.500%)
99 Average Val Loss: 0.0179, Val Accuracy: 4179/4200 (99.500%)
start model 1
0 Average Val Loss: 0.0929, Val Accuracy: 4083/4200 (97.214%)
1 Average Val Loss: 0.0730, Val Accuracy: 4096/4200 (97.524%)
2 Average Val Loss: 0.0745, Val Accuracy: 4111/4200 (97.881%)
3 Average Val Loss: 0.0445, Val Accuracy: 4138/4200 (98.524%)
4 Average Val Loss: 0.0411, Val Accuracy: 4139/4200 (98.548%)
5 Average Val Loss: 0.0347, Val Accuracy: 4156/4200 (98.952%)
6 Average Val Loss: 0.0356, Val Accuracy: 4148/4200 (98.762%)
7 Average Val Loss: 0.0397, Val Accuracy: 4148/4200 (98.762%)
8 Average Val Loss: 0.0334, Val Accuracy: 4157/4200 (98.976%)
9 Average Val Loss: 0.0328, Val Accuracy: 4150/4200 (98.810%)
10 Average Val Loss: 0.0307, Val Accuracy: 4158/4200 (99.000%)
11 Average Val Loss: 0.0270, Val Accuracy: 4161/4200 (99.071%)
12 Average Val Loss: 0.0286, Val Accuracy: 4158/4200 (99.000%)
13 Average Val Loss: 0.0300, Val Accuracy: 4156/4200 (98.952%)
14 Average Val Loss: 0.0306, Val Accuracy: 4160/4200 (99.048%)
15 Average Val Loss: 0.0276, Val Accuracy: 4163/4200 (99.119%)
16 Average Val Loss: 0.0271, Val Accuracy: 4159/4200 (99.024%)
17 Average Val Loss: 0.0278, Val Accuracy: 4162/4200 (99.095%)
18 Average Val Loss: 0.0275, Val Accuracy: 4160/4200 (99.048%)
19 Average Val Loss: 0.0269, Val Accuracy: 4163/4200 (99.119%)
20 Average Val Loss: 0.0260, Val Accuracy: 4163/4200 (99.119%)
21 Average Val Loss: 0.0255, Val Accuracy: 4164/4200 (99.143%)
22 Average Val Loss: 0.0256, Val Accuracy: 4164/4200 (99.143%)
23 Average Val Loss: 0.0258, Val Accuracy: 4166/4200 (99.190%)
24 Average Val Loss: 0.0255, Val Accuracy: 4162/4200 (99.095%)
